product_name,gst,hsn_code,company
ROYAL EX BOND PAPER A4 70 GSM (500),12 %,48025790,Shree Graphics
ROYAL EX BOND PAPER A4 85 GSM (100),12 %,48025790,Shree Graphics
ROYAL EX BOND PAPER A4 85 GSM (500),12 %,48025790,Shree Graphics
ROYAN BOND PAPER A4 100 GSM (100),12 %,48025790,Shree Graphics
SCREEN PRNTG INK GOLD PASTE 50 GR,12 %,32151910,Shree Graphics
SCREEN PRNTG INK GOLD PLWDER 100 GR,12 %,32151910,Shree Graphics
SCREEN PRNTG INK GOLD POWDER 50 GR,12 %,32151910,Shree Graphics
SQUZEE5,12 %,84431100,Shree Graphics
S-Race Sublimation 8.5x100mtr,12 %,48169010,Shree Graphics
SS PVC UNIVERSAL INK AID 5 LTR,12 %,32151140,Shree Graphics
SSPVC WHITE1KG,12 %,32151140,Shree Graphics
SUBLIMATION PAPER A4,12 %,48101390,Shree Graphics
SUBLIMATION PAPER A4 S-RACE,12 %,48101390,Shree Graphics
TAMPION PAD,12 %,59119010,Shree Graphics
TK ARIS YELLOW 2 KG,12 %,32151140,Shree Graphics
TNPL PAPER80GSM-500SHEET PKING,12 %,48025790,Shree Graphics
TOYO INK NEWS KING BLACK 20 KGS,12 %,32151140,Shree Graphics
TR INK AID 5 LTR,12 %,32151140,Shree Graphics
Turbo Process Black,12 %,32151140,Shree Graphics
U PEN PENCIL(15),12 %,96082000,Shree Graphics
VINISHINE MAROON 1KG,12 %,32151140,Shree Graphics
VMS PHOTO PAPER 130GSM A4 DOUBLE SIDE,12 %,48101490,Shree Graphics
VYNIL INK SUPER WHITE 1 KG,12 %,32151140,Shree Graphics
WHITE PAPER CUT SHEET-A4,12 %,48025790,Shree Graphics
YELLOW:COLD SET,12 %,32151910,Shree Graphics
05/80A COMPITABLE TONER,18 %,84439959,Shree Graphics
100MIC OHP210X297MM,18 %,39206220,Shree Graphics
100 OHP100-210*297MM,18 %,39206220,Shree Graphics
12.5x15.5 Kraft Cover,18 %,4817,Shree Graphics
12MM CELLO TAPE,18 %,39191000,Shree Graphics
12mm Cello Tape(Small),18 %,39191000,Shree Graphics
12X18 AVERYDENSE TR STICKER SHEET,18 %,39199090,Shree Graphics
12X18 METALIC SILVER 38,18 %,39206919,Shree Graphics
12X18METALIC SILVER-3 BOARD,18 %,39206919,Shree Graphics
12X18 METALIC SILVER-6 BOARD,18 %,39206919,Shree Graphics
12X18 MITSUBISHI 270GSM 20SHEET PKT,18 %,48115190,Shree Graphics
12X18 OPAQUE STICKER AVERY DENSE,18 %,39199090,Shree Graphics
12X18 TESLIN SHEET RUBBER,18 %,39201019,Shree Graphics
13X19-GUM PAPER (STICK-ON),18 %,48114100,Shree Graphics
130 GSM WHITE OPAQUE B/S A-4(20SHEETS),18 %,39219099,Shree Graphics
13X19AVERY DENSE OPAQUESTICKER,18 %,39191000,Shree Graphics
13x19 GOLD COLOUR STICKER SHEET,18 %,39201011,Shree Graphics
13X19 SILVER COLOUR STICKER-NT,18 %,39201011,Shree Graphics
2BOPP BROWN TAPE(B),18 %,39191000,Shree Graphics
2CELLO TAPE(B),18 %,39191000,Shree Graphics
2CELLO TAPE(R),18 %,39191000,Shree Graphics
2BROWN TAPE 325MTRS,18 %,39191000,Shree Graphics
24MM CELLO TAPE 55MTRS,18 %,39191000,Shree Graphics
24 MM CELLO TAPE(B),18 %,39191000,Shree Graphics
24 MM COLOUR TAPE,18 %,39191000,Shree Graphics
250GSM A-4 (20)GLOSSY INK JET MEDIA,18 %,48115190,Shree Graphics
3Cello Tape (100mtrs),18 %,39191000,Shree Graphics
3TRANSPERENT TAPE100MTR,18 %,39201011,Shree Graphics
36MM BLACK TAPE,18 %,39191000,Shree Graphics
4*6 MITSUBISHI 270 GSM 100SHEET,18 %,48115190,Shree Graphics
48 MM COLOUR TAPE (B),18 %,39191000,Shree Graphics
48MM FLOOR MARKING TAPE,18 %,85469090,Shree Graphics
569X720X.28MM-WINNER PLUS-60PKNG,18 %,84425020,Shree Graphics
576x700x28mm-Winner Xl-60pking(Xwes57146),18 %,84425020,Shree Graphics
576X720X.28MM-WINNER PLUS-60PKING(PW357896),18 %,84425020,Shree Graphics
576x844x.28MMX.28MM EROS-50PKNG,18 %,84425020,Shree Graphics
608x850x.28mm EROS-50PKNG,18 %,84425020,Shree Graphics
60MM BOPP SELF ADHESIVE TAPE(CELLO),18 %,39191000,Shree Graphics
645X830X.28MM-EROS,18 %,84425020,Shree Graphics
72MM BOPP SELF ADHESIVE TAPE (BROWN 3),18 %,39191000,Shree Graphics
743GUM 20GMS,18 %,35069110,Shree Graphics
75 Series BLACK,18 %,32151140,Shree Graphics
75 SERIES INK 500GRM,18 %,32151140,Shree Graphics
75 SERIES INK ASSORTED COLOURS200GRM PAK,18 %,32151140,Shree Graphics
75 SERIES WHITE,18 %,32151140,Shree Graphics
925 COMPITABLE TONER,18 %,84439959,Shree Graphics
A-1BALL PEN BLUE,18 %,96081019,Shree Graphics
A3 CT 100OHP,18 %,39219090,Shree Graphics
A3heater,18 %,84401010,Shree Graphics
A3 KODAK TRACING PAPER2505,18 %,48063000,Shree Graphics
A4 Brown Cover,18 %,39232100,Shree Graphics
A4 DOUBLE SIDES PET FILM25SHEETS PKT,18 %,39201011,Shree Graphics
A-BALL PEN BLUE,18 %,96081019,Shree Graphics
ABRO MASKING TAPE-18MM-20MTRS,18 %,48114100,Shree Graphics
ABRO MASKING TAPE24MM-20MTR,18 %,48114100,Shree Graphics
ACANA WOOD,18 %,84431100,Shree Graphics
